,DATE,STAR,REVIEW
37,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,타 통신사 쓰다가 lg로 바꿨는데 맴버쉽 혜택이라고 써놓고는 막상들가면 영화 보고 싶으면 영화콕 신청해서 영화 봐야되고 음료먹고싶으면 푸드콕으로 따로 들어가서 신청해서 먹어되서 불편함 통합을 시키던가 그리고 갈수록 혜택의 선택의 폭도 좁아지는데 내돈주고 굳이 이걸 써야되나 싶고 오늘 막상 쓰려고 들어갔는데 일시적으로 서비스 이용불가 잠시후 시도 해달라고하고 다시 들가면 계속 이문구가 뜸 장난 하는것도 아니고 그리고 당신들은 이 앱 써보긴 합니까 이리 불편한데 시도 때도 없이 업데이트나 할줄 알지 정작 필요한 기능들은 없으면서 머가 업데이트를 하는지 진심 1도 이해 안감 lg자체에 실망 입니다
38,2021년 1월 9일,별표 5개 만점에 1개를 받았습니다.,혜택이 진짜 영 아니네요 갈수록 더더 안좋아지네요 기존에 있는 고객이야 장기할인이니 뭐니해서 있다하지만 이런혜택으로 새로운 고객이 많이 생길까싶네요
39,2020년 11월 4일,별표 5개 만점에 1개를 받았습니다.,10년동안 U+사용하고 있는데..폰바꿀때도 기기변경이라 기기값도 비싼 돈으로 변경하고 있는데에 비해 정말 혜택이라고는 없네요... 요즘들어 생각이드는데 아무런 의미가 없네요 5G로 변경되면 혜택은 더 줄어들고..뭔지 모르겠네요
40,2020년 12월 21일,별표 5개 만점에 1개를 받았습니다.,온가족이 10년 넘게 사용중이지만 혜택은 없고 품질은 그닥.. 내년에 다같이 갈아탈까 합니다
41,2020년 9월 26일,별표 5개 만점에 1개를 받았습니다.,쓰레기 앱이네요. 영화예매도 계속 안되고 회원가입은 왜이렇게 힘들게 해뒀는지 ㅡㅡ 뭘하려고하면 서비스 오류라고 잠시후에 사용하라는데 잠시후는 개뿔 잠시후가 몇시간이냐???
42,2021년 3월 4일,별표 5개 만점에 1개를 받았습니다.,장기이용자는 유플러스 호구임.혜택 갈수록없어짐 고로 타통신사 이동이 답임
43,2020년 9월 29일,별표 5개 만점에 1개를 받았습니다.,폰을 5g로 바꿨는데 지들 맘대로 등급다운시키고 제휴혜택도 없애버리고. 게다가 인터넷 접속은 엄청 느리고. 약정끝나면 LG는 영원히 끝이다.
44,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,업데이트 후 일시적으로 이용불가라고 뜨는중입니다. 원래도 사용하기 편한 어플은 아니었지만 제대로 못할거면 가만히라도 있었으면 좋겠습니다
45,2020년 9월 29일,별표 5개 만점에 2개를 받았습니다.,뭔놈의 업데이트를 이렇게 자주하냐...쓸려고하면 밖에서 업데이트해야한대서 아주 성가시네. 뭐 개선되는것도 눈에 안띄는데 업데이트좀 잣작하세요. 그게 제일 쓰는데 방해됨
46,2021년 2월 12일,별표 5개 만점에 1개를 받았습니다.,오늘 무슨 날인가요...하루종일 아예 열리지가 않네...지웠다 다시 몇번을 설치를 해도 열리지가 않네...제얜장
47,2020년 12월 19일,별표 5개 만점에 1개를 받았습니다.,멤버십 혜택을 매년 계속 줄임 할리스커피 한달 1회 무료 혜택받는것도 없애네 ㅡㅡ 알뜰폰보다 요금도 비싸면서 멤버십혜택은 없고....
48,2020년 12월 29일,별표 5개 만점에 1개를 받았습니다.,정말 포인트 활용할수있는곳도 별루없고 오래써봤자 혜택도 별로내요 엘지유플러스 정말 최악입니다
49,2020년 10월 13일,별표 5개 만점에 4개를 받았습니다.,잘쓰고있어요 그런데 전보다 멤버십를 통해서 쇼핑을해야 할인을 받는게 조금 불편하네요 더많은해택과 편의함을 주셧음 해요
50,2021년 1월 3일,별표 5개 만점에 1개를 받았습니다.,이용 서비스가 계속 줄어드는데 장기 고객 서비스도 별로고 혜택좀 늘려 줘요
51,2020년 9월 27일,별표 5개 만점에 1개를 받았습니다.,소액결제하려고 했더니 바코드 안뜨고 등록한 휴대폰으로만 이용 가능하다라는 이상한 메세지만 뜨네요.
52,2021년 1월 20일,별표 5개 만점에 1개를 받았습니다.,실효성이없음..불편함 작동이느림 5g가맞나싶음 기회되면 kt로다시옮기고싶음 업데이트도 더럽게 안되고느림
53,2020년 12월 23일,별표 5개 만점에 1개를 받았습니다.,13년째 엘지만 쓰고있는데 온갖 혜택이 다 사라지고 있네요? ... 주기마다 통신사 갈아타고 신규 혜택 돌려먹는게 나아보일 지경입니다
54,2021년 2월 18일,별표 5개 만점에 1개를 받았습니다.,광고수신동의 안 하면 쓰지도 못 하게 해 놨네 망할
55,2020년 9월 28일,별표 5개 만점에 1개를 받았습니다.,"Kt 쓰다가 lg로 갈아탔는데 뭐이리복잡하고 오류가많은거임? 쓰라는거야 쓰지말라는거야? 업데이트하면 오류는필수고 장난하는거도아니고 쓸모있게만들던가 다시갈아타버릴라., , 또 복사하기 붙여넣기하면서 답변똑같이하겠지ㅋㅋㅋㅋ"
56,2020년 11월 1일,별표 5개 만점에 1개를 받았습니다.,정말 짜증남. 이용하고싶은 카테고리는 에러가 나서 이용도 못하고 다시 설치하려해도 계속 에러... 관리도 못 하면서 왜 자꾸 전화질만 해 대는지.. 앱 관리나 잘 하고 상품판매 전화질이나 하세요
57,2020년 9월 26일,별표 5개 만점에 1개를 받았습니다.,장기가입자 데이터두배 쿠폰 줘놓구서 막상 사용할려고 하면 5g요금제는 사용못하게 막아놓음 어처구니가없음 lte요금제라도 사용하게 해주던지
58,2020년 9월 26일,별표 5개 만점에 5개를 받았습니다.,향후 운영환경에서 테스트용 푸시메세지 보내시는 일은 없을거라 믿고 수정합니다. 할인은 잘 받고 있어요.
59,2021년 2월 27일,별표 5개 만점에 1개를 받았습니다.,저도 10년 넘게 lg만 쓰고 있는데 다른 통신사로 넘어갈까 합니다.. 너무 오래 버텼어..
60,2021년 3월 12일,별표 5개 만점에 1개를 받았습니다.,멤버쉽 혜택도 너무적고 그것도 갈수록 그냥 혜택주기 싫어서 발버둥치는게 느껴짐
61,2020년 9월 28일,별표 5개 만점에 1개를 받았습니다.,삭제하고몇번를다시깔아도왜안되요??? 답답해죽겠네요진짜!!!업데이트는왜하게되서잘쓰고있었구만ㅡㅡ
62,2020년 12월 25일,별표 5개 만점에 1개를 받았습니다.,작년엔 스타벅스 혜택이 올핸 메가박스랑 할리스 혜택까지 종료군요 왜 자꾸 줄어들까요? 계속 유플 이용해야되나 고민되네요.
63,2021년 1월 10일,별표 5개 만점에 5개를 받았습니다.,이용자분들 말에 공감이 갑니다. 광고는 오질라게 하면서 그거에대한 혜택이 크게 없음
64,2020년 11월 29일,별표 5개 만점에 1개를 받았습니다.,진짜루 딴 통신사 찾구 싶네여.. 간만에 접석할랬더니 분실폰을 해제 해야 한다니... 먼말인지를 머르것내여.. 그럼 이폰은 먼가요? 제가 분실폰으로 여태 이런 통신을 사용 했나여? 도무지 무슨 말인지...
65,2020년 12월 17일,별표 5개 만점에 1개를 받았습니다.,유플러스 8년째 사용중인데 이번달안으로 다른 통신사 갑니다 혜택도없는거나 마찬가지
66,2021년 1월 19일,별표 5개 만점에 1개를 받았습니다.,치과랑 와이파이 그만좀 제발....아니 무슨 주에 3회씩은 전화옵니다. 스팸전화급으로
67,2020년 9월 28일,별표 5개 만점에 5개를 받았습니다.,왜 다들 안좋다고 하지 난 영화혜택도 잘받고 편의점 할인도 받고 잠긴화면으로 월 2000원때 할인도 잘받고 있는데 굿 좋음
68,2020년 12월 24일,별표 5개 만점에 2개를 받았습니다.,맞아요 장기고객인데도 혜택은 다른데보다없으면서 광고만ㅠㅠ 필요없는혜택만주고
69,2020년 12월 14일,별표 5개 만점에 4개를 받았습니다.,업데이트했더니.. 광고보기 적립은 없어졌나요??
70,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,업데이트 후 실행이 안되어 삭제 후 다시 설치해야합니다. 뭐 이런 경우가...
71,2020년 9월 26일,별표 5개 만점에 5개를 받았습니다.,사용하기도 쉽고 적립과할인이 같이되어서 유용한거 같아요
72,2020년 10월 8일,별표 5개 만점에 5개를 받았습니다.,여러모로 참 좋네요 대신 할인이 한번만 된다는게 아쉽
73,2020년 9월 28일,별표 5개 만점에 1개를 받았습니다.,"sk10년 넘게 쓰다가 결합때문에 별수없이 lg로 갈아탔는데, lg가 왜 sk에 밀리는지 2주만에 알았슴. 기본적으로 멤버쉽 혜택의 깊이가 없다. sk는 명확하게 할인혜택을 쉽고 풍부하게 받게끔 되있는데, lg는 괴상하게 낚시성 혜택이 많은걸 보고 놀랬다. 기본적으로 극장, 피자, 커피등 이런건 좀 쉽고 실질적으로 못주고, 배너 보고 들어가보면 이것저것 더럽게 과정이 많고, 겨우겨우 애써 도착해보면, 그야말로 쥐똥만한 혀택이다. 그리고, 이런거 저런거 다 떠나서, 유플러스 앱 만드는 부서 직원들은 죄다 다른데 보내고 진짜 이 일을 하고싶은 직원을 써라. 요즘 아마추어들도 이딴식으로 앱 만들진 않는다. 무슨 미로찾기게임 앱도 아니고, 일부러 사용자 속터지게 하려고 만든것같음."
74,2020년 10월 4일,별표 5개 만점에 5개를 받았습니다.,U+10년 사용자로써 호구 소리 안들을 수 잇게 환골탈퇴하는 모습 보여주세요 8월 메인화면 개편에 사용자 편의 및 자주쓰는 카테고리만 깔끔하게 사용할 수 잇도록 UI배치 부탁드리며 별4개가 8월에누5개가 될 수 잇도록 노력바랍니다
75,2020년 9월 26일,별표 5개 만점에 1개를 받았습니다.,업데이트 후 동록된 휴대폰만 소액결제가 된다는데 중고폰 사서 쓰는사람은 어쩌라는거죠? 정말 정떨어지네요
76,2020년 10월 17일,별표 5개 만점에 1개를 받았습니다.,신서유기8 2화 1시간32분31초 부분부터 시즌1 영상이 나와요. 결재해서 본건데 내용 잘린건가요?
77,2021년 1월 24일,별표 5개 만점에 2개를 받았습니다.,이번달 Vvip 되어서 생일날 쓸려고 아껴뒀는데 영화 예매 횟수가 하나가 없고 11회 남았다고 뜨네요... 이게 뭡니까
78,2020년 11월 3일,별표 5개 만점에 1개를 받았습니다.,"1순위로 불편한앱,소액결제때문에 설치했는데 맴버십카드말고 다른거원하는데 왜자꾸 카드만주는지 참"
79,2021년 1월 20일,별표 5개 만점에 1개를 받았습니다.,Vvip인데 진짜 혜택다른데비해 개구리고 이번에 타통신사로 갈아타려구여 갈수록 별루임ㅜ
80,2021년 1월 8일,별표 5개 만점에 1개를 받았습니다.,장기 VVIP인데 점점 혜택이 줄어들고 있어요. 봐서 약정기간 끝나면 온가족 다 갈아타야할것 같아요.
81,2020년 12월 21일,별표 5개 만점에 1개를 받았습니다.,포인트 쓸데가없네요... 무한가지말고 줄거주고 쓸거쓰고 이러면 안돼나요 줘도 못쓰는 포인트...뭐하러주는건지
82,2020년 9월 26일,별표 5개 만점에 5개를 받았습니다.,소액결제~매주사용가능~하면 ~좋겠습니다
83,2020년 11월 15일,별표 5개 만점에 1개를 받았습니다.,행운의 위켄드 들어가는데 총 20분 걸리고 되지도 않음 미친 앱임 이딴 앱 처음 봄 ㅋㅋㅋㅋ 역시 유플러스가 이따위지
84,2020년 10월 1일,별표 5개 만점에 1개를 받았습니다.,잔여금액이 남았다는데 왜안되는거임요?
85,2021년 3월 9일,별표 5개 만점에 1개를 받았습니다.,업데이트 하고 네트워크 안됨 짜증
86,2021년 2월 4일,별표 5개 만점에 1개를 받았습니다.,진짜 쓰레기네...그나마 예전엔 8천원 줘서 좋았는데 지금은 완전 쌩 양아치
87,2021년 2월 10일,별표 5개 만점에 1개를 받았습니다.,나만 불만하고 똑같은 사람들이 많네. 오래 많이 쓰는 사람에게 혜택은 줄이고 새로들어온 사람에겐 혜택을 더주고...왜 vvip라는 등급을 붙이는걸까?
